stationID,Longitude,Latitude,Year,Month,Dekad,Rainfall
9635012,35.7532,-6.18782,2017,1,1,50.8
9635012,35.7532,-6.18782,2018,1,1,154.3
9635012,35.7532,-6.18782,2019,1,1,34.9
9636356,37.6604,-6.81755,1981,1,1,0
9636356,37.6604,-6.81755,1982,1,1,0
9636356,37.6604,-6.81755,1983,1,1,56.3
9636356,37.6604,-6.81755,1984,1,1,25
9636356,37.6604,-6.81755,1985,1,1,23
9636356,37.6604,-6.81755,1986,1,1,20.3
9636356,37.6604,-6.81755,1987,1,1,38.5
9636356,37.6604,-6.81755,1988,1,1,0
9636356,37.6604,-6.81755,1989,1,1,75.7
9636356,37.6604,-6.81755,1990,1,1,80.4
9636356,37.6604,-6.81755,1991,1,1,0
9636356,37.6604,-6.81755,1992,1,1,0
9636356,37.6604,-6.81755,1993,1,1,0
9636356,37.6604,-6.81755,1994,1,1,38.3
9636356,37.6604,-6.81755,1995,1,1,43.5
9636356,37.6604,-6.81755,1996,1,1,56.9
9636356,37.6604,-6.81755,1997,1,1,0
9636356,37.6604,-6.81755,1998,1,1,51
9636356,37.6604,-6.81755,1999,1,1,0
9636356,37.6604,-6.81755,2000,1,1,8.1
9636356,37.6604,-6.81755,2001,1,1,14.3
9636356,37.6604,-6.81755,2002,1,1,0
9636356,37.6604,-6.81755,2003,1,1,81.8
9636356,37.6604,-6.81755,2004,1,1,62.2
9636356,37.6604,-6.81755,2005,1,1,3.5
9636356,37.6604,-6.81755,2006,1,1,0
9636356,37.6604,-6.81755,2007,1,1,82
9636356,37.6604,-6.81755,2008,1,1,0
9636356,37.6604,-6.81755,2009,1,1,0
9636356,37.6604,-6.81755,2010,1,1,72
9636356,37.6604,-6.81755,2011,1,1,50.4
9636356,37.6604,-6.81755,2012,1,1,21.9
9636356,37.6604,-6.81755,2013,1,1,25.8
9636356,37.6604,-6.81755,2014,1,1,0.4
9636356,37.6604,-6.81755,2015,1,1,68.2
9636356,37.6604,-6.81755,2016,1,1,30.8
9636356,37.6604,-6.81755,2017,1,1,15.3
9636356,37.6604,-6.81755,2018,1,1,121.8
9636356,37.6604,-6.81755,2019,1,1,0
9636356,37.6604,-6.81755,2020,1,1,0
9637046,37.67,-6.9,1981,1,1,45.6
9637046,37.67,-6.9,1982,1,1,20.7
9637046,37.67,-6.9,1983,1,1,47.4
9637046,37.67,-6.9,1984,1,1,13.5
9637046,37.67,-6.9,1985,1,1,103.7
9637046,37.67,-6.9,1986,1,1,54.9
9637046,37.67,-6.9,1987,1,1,64
9637046,37.67,-6.9,1988,1,1,24.3
9637046,37.67,-6.9,1989,1,1,173.9
9637046,37.67,-6.9,1990,1,1,85.5
9637046,37.67,-6.9,1991,1,1,0
9637046,37.67,-6.9,1992,1,1,39.8
9637046,37.67,-6.9,1993,1,1,1.9
9637046,37.67,-6.9,1994,1,1,51.4
9637046,37.67,-6.9,1995,1,1,90.1
9637046,37.67,-6.9,1996,1,1,41.3
9637046,37.67,-6.9,1997,1,1,1.1
9637046,37.67,-6.9,1998,1,1,219.5
9637046,37.67,-6.9,1999,1,1,16
9637046,37.67,-6.9,2000,1,1,4.1
9637046,37.67,-6.9,2001,1,1,26
9637046,37.67,-6.9,2002,1,1,1.2
9637046,37.67,-6.9,2003,1,1,46.3
9637046,37.67,-6.9,2004,1,1,72.7
9637046,37.67,-6.9,2005,1,1,32.1
9637046,37.67,-6.9,2006,1,1,0
9637046,37.67,-6.9,2007,1,1,123.7
9637046,37.67,-6.9,2008,1,1,23.4
9637046,37.67,-6.9,2009,1,1,0
9637046,37.67,-6.9,2010,1,1,88.4
9637046,37.67,-6.9,2011,1,1,139.5
9637046,37.67,-6.9,2012,1,1,0.9
9637046,37.67,-6.9,2013,1,1,7.5
9637046,37.67,-6.9,2014,1,1,2.1
9637046,37.67,-6.9,2015,1,1,34.2
9637046,37.67,-6.9,2016,1,1,32.1
9637046,37.67,-6.9,2017,1,1,13.7
9637046,37.67,-6.9,2018,1,1,145.7
9637046,37.67,-6.9,2019,1,1,20.9
