Stations,0601830,0601753,0601812,0601822,9636150,9636255,9636048,9637051,9635012,9636356,9637046,9637746,9637045,9737024,9637056,9637756,9633756,9638356,9633456,0601834,0601852
1983012,-99,-99,-99,-99,39.8,15.8,-99,25.5,48,4,35.2,0,79,83.1,19.2,-99,20.1,-99,-99,-99,-99
1983013,-99,-99,-99,-99,38,24.5,-99,6.5,18.4,0,18.2,0,0,3.1,0,-99,0,-99,-99,-99,-99
1983021,-99,-99,-99,-99,17.2,0,-99,0,0,0,0,0,0,6.5,0,-99,0,-99,-99,-99,-99
1983022,-99,-99,-99,-99,31.7,8.5,-99,52.1,42.5,54,45.9,0,50.5,130.9,46,-99,202.5,-99,-99,-99,-99
1983023,-99,-99,-99,-99,3,25.5,-99,0,49.7,0,0,0,0,27.3,14.5,-99,100.2,-99,-99,-99,-99
1983031,-99,-99,-99,-99,15.2,12.5,-99,20.6,17.3,0,37.8,0,64,12.6,2.5,0,38,-99,-99,-99,-99
1983032,-99,-99,-99,-99,123.9,61.5,-99,69.6,53.8,69.2,112.7,36,116.5,90.5,162,0,206.2,-99,-99,-99,-99
1983033,-99,-99,-99,-99,132.3,44,-99,23.4,11.5,48.9,73.8,108.8,84.7,255,50.5,20,121.2,-99,-99,-99,-99
1983041,-99,-99,-99,-99,106.5,50,-99,45.7,19.4,36.5,91.1,69.5,91.5,86.2,104,167.7,105.1,-99,-99,-99,-99
1983042,-99,-99,-99,-99,62.2,90.3,-99,31.2,0,25.9,101.5,36,160,64.8,43.5,59.9,106,-99,-99,-99,-99
1983043,-99,-99,-99,-99,82.3,31,-99,14.5,0,35.6,185,80.3,140.8,95.7,39,84,118,-99,-99,-99,-99
1983051,-99,-99,-99,-99,104.2,56.9,-99,44,3,54.5,240.8,116.5,273,98.5,35.5,90.8,94,-99,-99,-99,-99
1983052,-99,-99,-99,-99,130.5,47.5,-99,47.5,3.5,36.8,230.1,102.6,286.4,77.6,78.5,19.2,42,-99,-99,-99,-99
1983053,-99,-99,-99,-99,72.3,65.4,-99,13,0,30.3,190.3,32.5,196,97.4,37,111.1,104,-99,-99,-99,-99
1983061,-99,-99,-99,-99,35.6,5.4,-99,5.7,0,9.3,64.2,24,44,7.5,9.5,51.7,0,-99,-99,-99,-99
1983062,-99,-99,-99,-99,16.3,0,-99,0,0,4,21.8,24,44.5,16.6,9,10,18,-99,-99,-99,-99
1983063,-99,-99,-99,-99,9.7,19,-99,3.4,0,10,30.8,0,35,46.8,0,16,18.2,-99,-99,-99,-99
1983071,-99,-99,-99,-99,20,0,-99,1,0,8.3,40.4,0,7.4,145,1.5,24.3,15,-99,-99,-99,-99
1983072,-99,-99,-99,-99,0,0,-99,0,0,3,18.8,0,7,14.3,0,0,11,-99,-99,-99,-99
1983073,-99,-99,-99,-99,35.3,42.5,-99,19.3,0,11.4,91.4,0,95.5,122,42,59.3,57.2,-99,-99,-99,-99
1983081,-99,-99,-99,-99,8,0,-99,0,0,2.3,37.7,0,10,19,2.5,6.1,17.2,-99,-99,-99,-99
1983082,-99,-99,-99,-99,7,0,-99,0,0,1,32.9,0,7,0,8,0,0,-99,-99,-99,-99
1983083,-99,-99,-99,-99,0,0,-99,0,0,0,5.2,0,7,11.3,0,0,0,-99,-99,-99,-99
1983091,-99,-99,-99,-99,0,0,-99,0,0,0,0,0,5.4,18.7,0,5.9,0,-99,-99,-99,-99
1983092,-99,-99,-99,-99,0,26,-99,3,0,0,0,0,11.5,73.2,0,0,0,-99,-99,-99,-99
1983093,-99,-99,-99,-99,27.2,26,-99,2,0,6.3,45.4,0,49,126.5,3,6.4,106,-99,-99,-99,-99
1983101,-99,-99,-99,-99,0,0,-99,0,0,0,0,0,0,13.2,0.3,22.4,0,-99,-99,-99,-99
1983102,-99,-99,-99,-99,11.1,0,-99,0,0,7,0,0,0,7,0,0,16.3,-99,-99,-99,-99
1983103,-99,-99,-99,-99,37,10.7,-99,3.2,0,0.3,45.4,0,38,0.3,2.5,25,36.9,-99,-99,-99,-99
1983111,-99,-99,-99,-99,70.5,12.5,-99,7,0,2.3,0.5,0,65,64.6,0,0,1.6,-99,-99,-99,-99
1983112,-99,-99,-99,-99,10.4,23,-99,40,8.8,8,0,0,17,137.3,87.5,17,37.9,-99,-99,-99,-99
1983113,-99,-99,-99,-99,9,0,-99,0,16.5,5.1,25.1,0,36,1.4,2,4,18.5,-99,-99,-99,-99
1983121,-99,-99,-99,-99,14,0,-99,0,2,0,38.5,38.6,0,53.1,0,-99,19.1,-99,-99,-99,-99
1983122,-99,-99,-99,-99,18,0,-99,0,61.2,2.6,4.7,58.4,16,45.1,20.5,-99,29,-99,-99,-99,-99
1983123,-99,-99,-99,-99,122.6,79.5,-99,133.6,166.5,104.3,10.8,20.5,200.5,85.1,154,-99,147.2,-99,-99,-99,-99
1984011,-99,-99,-99,-99,61.8,20.5,-99,10,34.6,25,13.5,12,39,38.4,76,-99,40.5,-99,-99,-99,-99
1984012,-99,-99,-99,-99,153.3,196.5,-99,100.1,46.4,53.6,70.5,72,170,108.7,54,-99,107.3,-99,-99,-99,-99
1984013,-99,-99,-99,-99,99.8,26.7,-99,33.2,32.5,82.2,111.9,12,64,13,128,-99,0,-99,-99,-99,-99
1984021,-99,-99,-99,-99,56.1,42.4,-99,18,92.3,25,0,12,27,154.3,51.5,-99,60.2,-99,-99,-99,-99
1984022,-99,-99,-99,-99,40,51,-99,36.6,15.2,93,71,8.5,45,51.2,29.5,-99,43.4,-99,-99,-99,-99
1984023,-99,-99,-99,-99,0,0,-99,0,5.6,0,0,12,0,0,0,-99,4.4,-99,-99,-99,-99
1984031,-99,-99,-99,-99,59.6,0,-99,0,9.3,0,23.4,12,22,25.6,11.5,-99,24.2,-99,-99,-99,-99
1984032,-99,-99,-99,-99,97.9,65.8,-99,20.2,36.5,62,205,101.9,216.4,51.3,77.5,-99,23,-99,-99,-99,-99
1984033,-99,-99,-99,-99,29.3,50,-99,21.5,0,14.6,76.9,36,101,132,36,-99,138.3,-99,-99,-99,-99
1984041,-99,-99,-99,-99,104.6,99.9,-99,117.4,0.6,19.6,155.1,57.3,139.5,34.5,114.5,-99,25,-99,-99,-99,-99
1984042,-99,-99,-99,-99,42.3,70,-99,106.5,68.2,106.8,214.8,95.5,181,91.7,72.5,-99,74,-99,-99,-99,-99
1984043,-99,-99,-99,-99,152.3,152,-99,75.2,3.2,125.8,486.8,60,622.5,150.6,198.5,-99,192.4,-99,-99,-99,-99
1984051,-99,-99,-99,-99,90.5,154,-99,18.2,0.5,25.6,204.5,0,268,54.9,61.5,-99,58.5,-99,-99,-99,-99
1984052,-99,-99,-99,-99,47.3,16,-99,6,0,0.3,42,5,52,70.5,23,-99,11.9,-99,-99,-99,-99
1984053,-99,-99,-99,-99,27,0,-99,13.5,0,27,149.4,0,74.5,62.3,33.5,-99,52.6,-99,-99,-99,-99
