Stations,1KA102,1KA104,1KA112,1KA107,1KA113,1KA100,1KA103,1KA108,1KA111,1KA106,1KA115,1KA110,1KA109,1KA114,1KA105,9535005,9535006,9536004,9536017,9635012,9636013,9636020,9637045,9637047,9637048,9637052,9637043,9737024,9737026,9738016,9639030,9635002,9637033,9735014,9638028,9737030,9637002,9839005,9836002,9637077,9539016
198410,0,8.7,0,13.9,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,7.6,15.9,0,0,-99,322.5,101.9,13.5,30.3,38,615.5,-99,44.4,104.4,0,64.1,1.5,52,97.5,79.2,50.7,64.8,30.5,159.2
198411,0,28,43.2,137.3,-99,-99,-99,-99,37.2,34,-99,-99,-99,-99,-99,-99,-99,94,84.7,76.8,57.6,-99,436.2,130.5,36.4,96.7,144,387.7,-99,235.2,121.1,77,212.8,26,128.4,121.1,185.7,18,92.9,127.4,180.6
198412,338.1,189.1,212.5,245.1,-99,-99,-99,-99,142.7,183.5,-99,-99,-99,-99,-99,-99,-99,113.1,109.2,176.8,67.9,-99,296.9,128.5,51.9,68.8,141.5,560.5,-99,101.1,182.3,143.3,117.5,155.2,84.4,212.9,154.6,300.7,465.6,56.2,93.4
198501,67.5,77,66.1,131.4,-99,-99,-99,-99,-99,74.2,-99,221.7,-99,-99,-99,-99,-99,110.6,71,146,73.3,-99,195,119.5,39.8,23.3,118,299.2,-99,91,93.8,164.1,176.4,41.9,30.8,56,168,131.6,222.2,10.8,37.3
198502,138.2,266,243.4,187.7,-99,-99,-99,-99,237.5,181.3,-99,145.3,-99,-99,-99,-99,-99,169.7,112.5,259.6,141.5,-99,193,142,68.7,155.3,229,183.2,-99,145.9,124.1,279,139.8,222.4,151.2,110.9,147.2,92.2,357,158.7,94.5
198503,51.9,101.5,42.7,53.2,-99,-99,-99,-99,81.7,65.1,-99,102.7,-99,-99,-99,-99,-99,75.2,39.3,8.9,40.9,-99,218.1,99,16.5,57,125,307.7,-99,127.3,114.8,74.5,134.7,45.5,139.2,206.2,169.9,100.6,230.2,107.1,130.7
198504,27.1,88.1,47.3,91.9,-99,-99,-99,-99,54.5,61.1,-99,156.5,-99,-99,-99,-99,-99,16.5,49.5,84,44,-99,474,374,51.8,169,151.5,382.6,-99,239.1,135,39,192.9,52.1,122.6,260.3,207.1,207.8,269.8,135.1,150.1
198505,0.8,0,0,15.7,-99,-99,-99,-99,0,0.6,-99,0,-99,-99,-99,-99,-99,30.5,17,0,6.4,-99,677.4,207,52.3,76.2,138.5,196.1,-99,86.1,184,1.3,47.6,0,76,129.3,63.5,38.9,74.5,118.3,408
198506,0,0,0,0,-99,-99,-99,-99,0,2.3,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,16,0,8.3,0,4.5,51.4,-99,0,2.4,0,2.7,0,4.7,14.1,2,0,0,1.3,46.8
198507,0,0,0,0,-99,-99,-99,-99,0,0.3,-99,0,-99,-99,-99,-99,-99,0,0,0,0.4,-99,108,22.3,10.4,6,13.5,36.2,-99,12.3,62.1,0,5,0,70.8,29,7.2,30.4,26.6,16.7,139.4
198508,0,0,0,0,-99,-99,-99,-99,0,0,-99,0,-99,-99,-99,-99,-99,0,0,0,0,-99,44.5,17,0,9.5,7.5,98.7,-99,17,1.4,0,2.3,0,4.4,31.2,0,4.4,6.7,9.6,106.3
198509,0,0,0,0,-99,-99,-99,-99,0,0,-99,8,-99,-99,-99,-99,-99,0,0,0,0,-99,54.5,6.5,4.2,0,1.5,161,-99,8.8,12.8,0,17.5,0,17.1,0,0,4.1,3.9,0.8,67.4
198510,0,0,0,0,-99,-99,-99,-99,0,8.1,-99,4,-99,-99,-99,-99,-99,2.2,2.2,0,0,-99,68,10.6,11.5,0.6,10.5,205.8,-99,41.9,33.8,0,0.6,0,26.1,11,0,121.1,29.9,13.7,109.8
198511,147.3,108.1,88.9,194.7,-99,-99,-99,-99,103,117.2,-99,204.6,-99,-99,-99,-99,-99,129.9,125.5,74.8,36.4,-99,168.5,93.6,27,112,26,584.4,-99,29.6,61.7,46.7,80.2,94.3,74.8,169.4,110.3,26.6,231.8,59.1,124.2
198512,148.8,78.2,38.7,140,-99,-99,-99,-99,-99,112.3,-99,234.2,-99,-99,-99,-99,-99,64.9,153.9,130.6,64.5,-99,252.5,145.3,33.2,40.5,150,270.1,-99,111.4,122.9,77,147.2,61.3,103.3,59.9,158.7,91.4,218.1,43.3,87
198601,154.5,127.3,92,172.7,-99,-99,-99,-99,-99,125.1,-99,217.9,-99,-99,-99,-99,-99,165,137.3,112.9,-99,-99,285,145.8,65.5,132.7,62.5,542.8,-99,95.6,35.8,116.7,216.4,138.4,26.8,199.4,267.6,322.3,356.6,134.6,40.2
198602,61,15.7,22.5,91,-99,-99,-99,-99,60.4,49.4,-99,110.5,-99,-99,-99,-99,-99,46.3,37.1,70,-99,-99,129,48.6,20.6,74.7,78,136.2,-99,69.4,0.4,79.7,90.4,31.4,4.5,68.1,42.8,91.5,336.6,70.1,0.1
198603,135.3,108.5,67.4,-99,-99,-99,-99,-99,142.3,229.1,-99,230.7,-99,-99,-99,-99,-99,83.3,144.1,101.8,-99,-99,279,181.1,52.4,142.3,120,373.5,-99,217.5,210.8,75.3,191.5,83.3,191.6,241.8,182.8,167.2,419.2,156.5,221.3
198604,22.8,29.7,1,41.1,-99,-99,-99,-99,32.7,88.5,-99,66.8,-99,-99,-99,-99,-99,50.2,35,19.3,-99,-99,1006.5,274.3,84.2,126.3,154,284.5,78.3,292.8,398.4,24.8,136,26,256.5,302.4,285.1,310.5,405,142.7,353.9
198605,45.8,24.9,8.9,0,-99,-99,-99,-99,9.4,5.8,-99,53.8,-99,-99,-99,-99,-99,7.5,32.3,15.5,-99,-99,741,205.6,67.2,125.5,141.5,172.7,174.8,88,293.5,19.6,59.9,16.2,199.9,83.4,59.1,82.2,101,157.7,489.3
