Station_ID,Longitude,Latitude,Year,Month,Rainfall
1KA115,35.6896,-8.23047,2013,1,-9999
1KA115,35.6896,-8.23047,2014,1,281.6
1KA115,35.6896,-8.23047,2015,1,-9999
1KA115,35.6896,-8.23047,2016,1,332.9
1KA115,35.6896,-8.23047,2017,1,277.8
1KA115,35.6896,-8.23047,2018,1,491.9
1KA110,34.01667,-8.93333,1981,1,174
1KA110,34.01667,-8.93333,1982,1,209
1KA110,34.01667,-8.93333,1983,1,261.8
1KA110,34.01667,-8.93333,1984,1,240
1KA110,34.01667,-8.93333,1985,1,221.7
1KA110,34.01667,-8.93333,1986,1,217.9
1KA110,34.01667,-8.93333,1989,1,139
1KA110,34.01667,-8.93333,1990,1,-9999
1KA110,34.01667,-8.93333,1991,1,278.6
1KA110,34.01667,-8.93333,1992,1,278
1KA110,34.01667,-8.93333,1993,1,233.4
1KA110,34.01667,-8.93333,1994,1,208
1KA110,34.01667,-8.93333,1995,1,171.4
1KA110,34.01667,-8.93333,1997,1,-9999
1KA110,34.01667,-8.93333,1998,1,271.1
1KA110,34.01667,-8.93333,1999,1,336
1KA110,34.01667,-8.93333,2000,1,88.8
1KA110,34.01667,-8.93333,2001,1,330.4
1KA110,34.01667,-8.93333,2002,1,245.3
1KA110,34.01667,-8.93333,2003,1,192.7
1KA110,34.01667,-8.93333,2004,1,203.5
1KA110,34.01667,-8.93333,2005,1,157.7
1KA110,34.01667,-8.93333,2006,1,146.7
1KA110,34.01667,-8.93333,2007,1,197.8
1KA110,34.01667,-8.93333,2008,1,203.1
1KA110,34.01667,-8.93333,2009,1,152.5
1KA110,34.01667,-8.93333,2010,1,484.4
1KA109,33.9719,-8.9436,2007,1,-9999
1KA109,33.9719,-8.9436,2008,1,197.2
1KA109,33.9719,-8.9436,2009,1,150.7
1KA109,33.9719,-8.9436,2010,1,192.8
1KA109,33.9719,-8.9436,2011,1,73.6
1KA109,33.9719,-8.9436,2012,1,238.6
1KA109,33.9719,-8.9436,2013,1,407.1
1KA109,33.9719,-8.9436,2014,1,307.8
1KA109,33.9719,-8.9436,2015,1,-9999
1KA109,33.9719,-8.9436,2016,1,349.5
1KA109,33.9719,-8.9436,2017,1,75.9
1KA109,33.9719,-8.9436,2018,1,288.7
1KA114,35.95,-6.66667,2007,1,-9999
1KA114,35.95,-6.66667,2008,1,197.2
1KA114,35.95,-6.66667,2009,1,150.7
1KA114,35.95,-6.66667,2010,1,192.8
1KA114,35.95,-6.66667,2011,1,73.6
1KA114,35.95,-6.66667,2012,1,238.6
1KA114,35.95,-6.66667,2013,1,407.1
1KA114,35.95,-6.66667,2014,1,307.8
1KA114,35.95,-6.66667,2015,1,-9999
1KA114,35.95,-6.66667,2016,1,349.5
1KA114,35.95,-6.66667,2017,1,75.9
1KA114,35.95,-6.66667,2018,1,288.7
1KA110,34.01667,-8.93333,1981,1,0
1KA110,34.01667,-8.93333,1982,1,10.5
1KA110,34.01667,-8.93333,1983,1,0
1KA110,34.01667,-8.93333,1984,1,0
1KA110,34.01667,-8.93333,1985,1,30.5
1KA110,34.01667,-8.93333,1986,1,35.2
1KA110,34.01667,-8.93333,1987,1,142
1KA110,34.01667,-8.93333,1994,1,170.2
1KA110,34.01667,-8.93333,1995,1,-9999
1KA110,34.01667,-8.93333,2002,1,296.5
1KA110,34.01667,-8.93333,2010,1,172.4
1KA110,34.01667,-8.93333,2011,1,55.8
1KA110,34.01667,-8.93333,2012,1,-9999
1KA110,34.01667,-8.93333,2013,1,237.5
1KA105,35.73,-7.17,2014,1,189.7
1KA105,35.73,-7.17,2015,1,86.7
1KA105,35.73,-7.17,2016,1,656.8
1KA105,35.73,-7.17,2017,1,17.3
1KA105,35.73,-7.17,2018,1,347.9
9535005,35.92,-5.88,2008,1,-9999
9535005,35.92,-5.88,2009,1,61.1
9535005,35.92,-5.88,2010,1,115.8
9535005,35.92,-5.88,2011,1,160.8
9535005,35.92,-5.88,2012,1,145.4
9535005,35.92,-5.88,2013,1,110.8
9535005,35.92,-5.88,2014,1,150
9535005,35.92,-5.88,2015,1,110.4
9535005,35.92,-5.88,2016,1,326.6
9535005,35.92,-5.88,2017,1,65.5
9535005,35.92,-5.88,2018,1,266.7
9535006,35.75,-5.88,2008,1,-9999
9535006,35.75,-5.88,2009,1,8.5
9535006,35.75,-5.88,2010,1,254
9535006,35.75,-5.88,2011,1,92.8
9535006,35.75,-5.88,2012,1,175.9
9535006,35.75,-5.88,2013,1,78.9
9535006,35.75,-5.88,2014,1,95
9535006,35.75,-5.88,2015,1,140.9
9535006,35.75,-5.88,2016,1,99.5
9535006,35.75,-5.88,2017,1,120
9535006,35.75,-5.88,2018,1,416.3
9536004,36.13,-5.78,1981,1,40
9536004,36.13,-5.78,1982,1,28.7
9536004,36.13,-5.78,1983,1,42.2
9536004,36.13,-5.78,1984,1,63.3
9536004,36.13,-5.78,1985,1,110.6
9536004,36.13,-5.78,1986,1,165
9536004,36.13,-5.78,1987,1,181.2
9536004,36.13,-5.78,1988,1,147.1
9536004,36.13,-5.78,1989,1,143.3
9536004,36.13,-5.78,1990,1,85
9536004,36.13,-5.78,1991,1,84.6
9536004,36.13,-5.78,2008,1,-9999
9536004,36.13,-5.78,2009,1,45.7
9536004,36.13,-5.78,2010,1,-9999
9536004,36.13,-5.78,2011,1,-9999
9536004,36.13,-5.78,2012,1,149
9536004,36.13,-5.78,2013,1,89.4
9536004,36.13,-5.78,2014,1,46.8
9536004,36.13,-5.78,2015,1,223.5
9536004,36.13,-5.78,2016,1,269
9536004,36.13,-5.78,2017,1,190
9536004,36.13,-5.78,2018,1,281.6
9536017,36.0849,-5.716,1981,1,11.1
9536017,36.0849,-5.716,1982,1,112.4
9536017,36.0849,-5.716,1983,1,96.4
9536017,36.0849,-5.716,1984,1,103.1
9536017,36.0849,-5.716,1985,1,71
9536017,36.0849,-5.716,1986,1,137.3
9536017,36.0849,-5.716,1987,1,238.4
9536017,36.0849,-5.716,1988,1,146.3
9536017,36.0849,-5.716,1989,1,193.9
9536017,36.0849,-5.716,1990,1,-9999
9536017,36.0849,-5.716,1991,1,-9999
9536017,36.0849,-5.716,2006,1,-9999
9536017,36.0849,-5.716,2007,1,211.6
9536017,36.0849,-5.716,2008,1,43
9536017,36.0849,-5.716,2009,1,66.8
9536017,36.0849,-5.716,2010,1,-9999
9536017,36.0849,-5.716,2011,1,-9999
9536017,36.0849,-5.716,2012,1,93.7
9536017,36.0849,-5.716,2013,1,88.6
9536017,36.0849,-5.716,2014,1,178.5
9536017,36.0849,-5.716,2015,1,132.6
9536017,36.0849,-5.716,2016,1,99.5
9536017,36.0849,-5.716,2017,1,126.3
9536017,36.0849,-5.716,2018,1,185.9
9635012,35.7532,-6.18782,1981,1,49.5
9635012,35.7532,-6.18782,1982,1,107.1
9635012,35.7532,-6.18782,1983,1,95
9635012,35.7532,-6.18782,1984,1,132.3
9635012,35.7532,-6.18782,1985,1,146
9635012,35.7532,-6.18782,1986,1,112.9
9635012,35.7532,-6.18782,1987,1,172.9
9635012,35.7532,-6.18782,1988,1,162.6
9635012,35.7532,-6.18782,1989,1,198.3
9635012,35.7532,-6.18782,1990,1,51.9
9635012,35.7532,-6.18782,2008,1,41.7
9635012,35.7532,-6.18782,2009,1,46.4
9635012,35.7532,-6.18782,2010,1,160.7
9635012,35.7532,-6.18782,2011,1,138.8
9635012,35.7532,-6.18782,2012,1,76.7
9635012,35.7532,-6.18782,2013,1,93.5
9635012,35.7532,-6.18782,2014,1,132.3
9635012,35.7532,-6.18782,2015,1,41.5
9635012,35.7532,-6.18782,2016,1,226.9
9635012,35.7532,-6.18782,2017,1,94.7
9635012,35.7532,-6.18782,2018,1,320.2
9636013,36.327,-6.21775,1981,1,28
9636013,36.327,-6.21775,1982,1,56.6
9636013,36.327,-6.21775,1983,1,39.4
9636013,36.327,-6.21775,1984,1,124.4
9636013,36.327,-6.21775,1985,1,73.3
9636013,36.327,-6.21775,1988,1,137.4
9636013,36.327,-6.21775,1989,1,163.5
9636013,36.327,-6.21775,1990,1,73.8
9636013,36.327,-6.21775,1991,1,145.4
9636013,36.327,-6.21775,1992,1,12.4
9636013,36.327,-6.21775,1993,1,195.9
9636013,36.327,-6.21775,1994,1,179.2
9636013,36.327,-6.21775,1995,1,207.7
9636013,36.327,-6.21775,2007,1,-9999
9636013,36.327,-6.21775,2008,1,94.3
9636013,36.327,-6.21775,2009,1,90
9636013,36.327,-6.21775,2010,1,94.8
9636013,36.327,-6.21775,2011,1,75.6
9636013,36.327,-6.21775,2012,1,135.8
9636013,36.327,-6.21775,2013,1,111.3
9636013,36.327,-6.21775,2014,1,142.7
9636013,36.327,-6.21775,2015,1,99.2
9636013,36.327,-6.21775,2016,1,162.9
9636020,36,-5.59,2008,1,-9999
9636020,36,-5.59,2009,1,90
9636020,36,-5.59,2010,1,95.1
9636020,36,-5.59,2011,1,75.6
9636020,36,-5.59,2012,1,135.8
9636020,36,-5.59,2013,1,111.3
9636020,36,-5.59,2014,1,142.7
9636020,36,-5.59,2015,1,99.2
9636020,36,-5.59,2016,1,310.5
9637045,37.63,-6.95,1981,1,113.9
9637045,37.63,-6.95,1982,1,71
9637045,37.63,-6.95,1983,1,187
9637045,37.63,-6.95,1984,1,273
9637045,37.63,-6.95,1985,1,195
9637045,37.63,-6.95,1986,1,285
9637045,37.63,-6.95,1987,1,145
9637045,37.63,-6.95,1988,1,143
9637045,37.63,-6.95,1989,1,496.5
9637045,37.63,-6.95,1990,1,166.8
9637045,37.63,-6.95,1991,1,198
9637045,37.63,-6.95,1992,1,36.5
9637045,37.63,-6.95,1994,1,48
9637045,37.63,-6.95,1995,1,110.5
9637045,37.63,-6.95,1996,1,108.3
9637045,37.63,-6.95,1997,1,71.2
9637045,37.63,-6.95,1998,1,371.7
9637045,37.63,-6.95,1999,1,109.8
9637045,37.63,-6.95,2000,1,72.6
9637045,37.63,-6.95,2001,1,249.2
9637045,37.63,-6.95,2002,1,148.1
9637045,37.63,-6.95,2003,1,64.3
9637045,37.63,-6.95,2004,1,276.2
9637045,37.63,-6.95,2005,1,44.4
9637045,37.63,-6.95,2006,1,60
9637045,37.63,-6.95,2007,1,115.1
9637045,37.63,-6.95,2008,1,76.5
